"userName","score","text","date"
"Jordan Barlow",5,"Played this game a ton on PC, paid $5 for it on that and I'd pay another $5 for it on mobile. The controls translate over well enough to mobile but I will say overall they need to brighten the game a bit. Even sitting in a dark room it can be a bit hard to see (a problem PC does not share). Outside of that I think the game is fantastic. Very repayable with a few very fun and creative upgrades. My favorite at the moment is a high HP smite build. Oh also the Devs have been very active so far 10/10","2022-12-06T03:48:28.780Z"
"Andy",5,"I usually don't play mobile games. Definitely not a bullet hell gamer but at the price point of 0 dollars and the gameplay doesn't involve serious in game purchases to progress. I give it a thumbs up. the controls are kinda booty on touch screen but a spare Xbox one controller alleviates that issue.","2023-08-09T02:04:11.990Z"
"Бернацький «DimaBe» Дмитро",5,"It plays great, I really enjoyed it. The interface is convenient, performing achievements in places due to misstaps, I thought I ruined the achievement, but the genius who forgives such a trifle is simply the best. Despite its gameplay, it does not load the device as some kind of brand new Surviv, which, well, really fu. Everything is thought out here, but it seems to me that in some places you are pumping too imbalanced. But these little things do not interfere with enjoying the game.","2022-12-26T22:22:28.480Z"
"Star Cheeto",5,"Excellent and simple bullet hell. I have the premium on pc, the free mobile version I play when traveling. Each character and weapon feels unique and the different combinations can vary up gameplay quite a bit. Theres room for more enemy variety, environmental hazards, and bosses or elites. In its current state, it is a fun game with enough to bite into.","2023-12-22T01:00:01.509Z"
"Matheus Salabert",5,"Simply one of the best shooters I've played in years. It's repetitive but just provides different upgrades that makes it enjoyable and replayable. P.S I think there are things that could be better tho. How there's no setting for a fixed joystick? Or a menu that I can check every matching upgrade.","2022-11-26T03:29:54.627Z"
"David Stark",5,"Amazing game. I'm a sucker for pixelated graphics, so this game is great if you also like retro graphics. I love roguelike games, so another plus, and the upgrades and their synergies provide so much variation. Ads are always annoying, but I'm willing to put that aside for this amazing game.","2023-05-18T10:51:25.107Z"
"Daekwan Christmas",5,"this is incredibly fun to play,it can be a challenge but in a way that make entertaining it plenty of different builds and weapons that effect how you can play the game allowing more variety to the gameplay. I Highly recommend giving this game a try you might find a new favorite game like I did. Great job dev team.","2022-11-20T22:18:50.416Z"
"Crimson Afterburner",5,"Great fun where the simple mechanics and strategic depths can give you a hell of a lot of playtime. It's free options are awesome but I do believe that this game is quality enough to support the full release. 100% Completion and each of those moments were either fun or a good challenge.","2023-12-01T14:04:55.171Z"
"Austin LoanSome",5,"I love this game, it's so good. I love the vibe, the graphics, the characters and the skill tree that gives you these ultimate bonuses if you get the right ones. It's only gotten better with time. And thank you for bringing back Lilith and adding Luna, plus the magic bow. Exceptional game and devs.","2023-10-18T01:27:16.936Z"
"Shawn Louis",5,"One lf the more difficult survival game I have played it feels like the grind is worth it more as you get stronger upgrading stats, and finding the synergies are always fun in these types of games. I also like to see how much the abilities do compared to others, so if you can add that to the game that would be nice :)","2022-11-28T05:31:32.810Z"
"Roland Palmer",5,"The limited ammo and reloads adds more interactivity to the actual shooting and the upgrade trees are really fun. Plenty of options on how to buff yourself and there's a good balance with feeling super powerful without the enemy patterns feeling too easy. Visuals and sounds also lend themselves a lot to the feel","2023-08-01T02:32:12.203Z"
"Sean Gumabay",5,"I love the game, by that I mean, I love how you can just use Lilith with the batgun, prioritize summon damage, stand in the middle of the arena and spam basic attack till you have like.... 700+ spirits surrounding you while you do nothing and win. Please nerf her, atleast put a limit to her abilities Caz it's literally crashing my game how many spirits and bats roam around, maybe make it so that no more than 50 bats exist and no more than 100 spirits exist at the same time.","2024-05-11T17:40:55.501Z"
"Philip Abraham",5,"Such a brilliant game! It's punishing if you don't pay your way through but when you do survive it's good stuff. Hack and slash meets rogue like in game upgrades","2024-06-09T17:49:27.950Z"
"Rashi Bhardwaj",5,"It's amazing but sometimes seems endless and also it is definitely not an easy game but yeah better than thousands of other game .haven't really seen any ad till now and also highly recommended and a hidden gem","2024-06-06T17:22:40.312Z"
"Stuff",5,"I think it's a very fun spin on your average run and gun type game, but opposed to most I've played it's actually difficult enough to stay fun.","2024-05-19T04:31:48.568Z"
"Funny Violin",5,"Just plain fun, and a big thank you to the devs for not showing ads down our throats. Would be happy to buy premium when I get the opportunity.","2024-06-14T22:11:31.608Z"
"Anna AdotD",5,"Awesome game, its sad that some characters are locked behind a pay wall. And every skill other than bullet ones need a buff.","2024-05-20T09:52:58.492Z"
"Jandy Pecajas",5,"The best survival game for me because it's too challenging to survive for 20 mins and every time I lose it frustrates me and make my gamer spirit ignite just to win the game Definitely must download game if you're into survival game","2024-04-01T13:44:17.550Z"
"Jager Cerjance",5,"with all the upgrades making every run unique i have an absurd amount of fun on this game. the only two issues i have is the lag in frame drop when there are a screen full of enemies which the game kind of specializes in taking down hordes making it hard to play on later runs even with a god phone. second issue i want more guns🦧 (endless would be cool too)","2022-11-24T22:18:52.787Z"
"Matthew Claire",5,"I really like the game a lot. It can be really challenging at times, which makes the player feel more determined to beat it.","2024-05-18T14:51:50.439Z"
"Ken Kelly",5,"Very clever game. The rate the difficulty increases is timed perfectly. Congrats on a great game. Good music too!","2024-05-18T22:17:44.395Z"
"RACQUEL GAMAO",5,"This game has a lot of character and weappons and its very fun the problem is you need to watch adds to buy character and weapons but. ITS VERY FUN!","2024-04-15T02:40:50.891Z"
"Fritz louie Sotto (Fishball)",5,"game good and nice the way of skills and ability you can do is limit less but it would be problem if that may cause a lot of lag they should limit the skill ability a little","2024-04-03T15:24:51.214Z"
"Clay",5,"An excellent game where the ads are totally optional. Never need to pay a dime or see an ad again!","2024-04-26T14:17:13.946Z"
"Abdul Rauf",5,"pretty cool game. the floating joystick is a pain tho. i wish they had a toggle for morr conventional fixed joystick layout","2024-03-31T01:24:50.351Z"
"Timmy",5,"The ""free"" Play Pass coins aren't being added. It's essentially a fun game but straight from the beginning it's way too hard. Try Again. Edit: Whoa! Didn't expect the issue to be fixed this fast. Well done and much more enjoyable to play now. Also kudos on the professional reply. Thanks!","2023-06-07T19:02:12.140Z"
"Don Pog",5,"Once you start unlocking runes, weapons and people it becomes less stressful grinding the exp. Lilith is great with the bats. Diamond is tricky to master but end result is very exhilarating. Spark is fun with the right set up. Shana - don't forget the halo pieces. Note to editor- An endless survival mode would be fun. It does have a peak once everything is completed so repayable factor dies after a bit.","2022-12-11T02:43:43.122Z"
"Junior C",5,"First Impressions, I love the graphics of the game, it's simplistic yet contrast colours for the background, and the overall gameplay. My biggest pet peeve for free games are ads, but this one doesn't riddle you with it every 5 minutes and handles it like the game soul knight. Overall, very recommend for this kind of shoot em up. A good past time game on the go.","2022-12-01T00:22:04.549Z"
"Røsè Private",5,"Its a very good game. it doesn't get annoying pr repetitive due to how many options you have like different weapons characters and upgrades. I have no complaints but I do think the time to wait for the holy shield to return should be reduced to 1and a half minutes instead of 2 minutes","2022-12-09T07:08:53.419Z"
"Francgod Gaud",5,"Smartphone games are usually terrible but 20 min is just one the best its inspired by Vampire Survivor and it does it great, my only suggestion would be to make the sprite of your summons more distinguishable and different from the monsters, since they share a similar pallet its hard to detect what is a friend or a foe. Barely any adds you can watch one before your run for a small advantage but not neccessary beside that no adds.. amazing props to the Dev team !","2022-12-04T22:24:09.238Z"
"Flip",5,"holly this is a fun game. it has the fun rougelike element of trying again and again to pick the right items character and weapons. i did not expect a power fansty but BOY is it good because you WORKED FOR THAT. you worked for that feeling. its been a hot minute since i genuinely enjoyed a game this much there is still a difficulty curve i love that feeling of finally getting an amazing run with all the right power ups and then mowing down every enemy in sight. absolutely incredible game 9.2/10","2023-04-29T07:02:37.150Z"
"Dragon XD",5,"Amazing game for when you wanna relax for 20 min, really helps with stress. i hope the developers come up with more perks as the game goes on ,i think they need more. Also why do i need to be online for the game to start i understand you need the ads for revenue, but pls make it so i can the start the game without needing to connect to the internet so i can play it whenever i want to. I also want to thank the developers for putting ads only when you want benefits at the start of a game🙂","2022-12-06T08:28:58.508Z"
"Joshua Kingston",5,"Great game, music is cool, character and weapon options feel really impactful, and the game is actually challenging, which is nice considering every other mobile game seems to want to hold ur hand the whole way. Ads are very well managed, not coming up often unless you want them to.","2022-12-02T11:52:58.433Z"
"WONDERS ASOLUKA",5,"Superb I've had this game for a few months now Came back to it fully ending of last month and it was pretty fun Though I died a lot at the start after grinding a bit and finding the best convo for everything the game went pretty smoothly The only issue I have is that sometimes during darkness lv 15 when I'm using a weaker weapon and the enemies are piling up the app starts to struggle I dunno if it's my phone but fixing that would be good Any other issue and suggestions will be mailed","2024-01-15T21:34:06.538Z"
"Motivated Male",5,"Dark and edgy atmosphere-check Fun abilities-check Fun gameplay-check Great replayability-check Just the way I like it,20 minutes till dawn is an amazing game. The pixelized art style really suits the overall atmosphere and setting. There are lots of builds to experiment with,which motivates me to keep grinding in order to buy more characters and weapons. a Solid 5/5. I can play this game for hours on end and never get bored whatsoever.","2023-05-07T15:24:32.366Z"
"TCN Diamond",5,"One of the best mobile games I've therally enjoyed. It just never becomes boring and it's always satisfying to get new upgrades to destroy your enemies. One thing I wish it had was a leader board to see. How long others have survived or maybe an endless mode as well","2023-05-06T10:37:31.687Z"
"Sorathorn Suthanapan",5,"Very polished survivor game. Multiple playstyle to unlock and explore. Dual stick control one for movement, the other for aimshots or you can just hold it down to attack the closest enemy. Also has sick graphics. Highly recommend giving the game a go. Not to mention it's free. No real pay wall either.","2022-12-27T17:07:54.316Z"
"shiyaniera",5,"Was able to break the game with one of the characters to the point where the game was crawling at 1 frame per second. 5 stars; it was hilarious. Would have tried to see if I could crash the game but got bored. Note to the devs: Don't make exponential summons without death timers or an object cap.","2023-11-15T18:17:40.201Z"
"Rafa Amor",5,"The game is very fun to play but it is a bit hard for most players like I did manage to finithe first 20 minutes but at the last second the give me a boss which is easy to beat but I didn't manage to beat it because I didn't know it's attack but it's very fun and addictive I really recommend it but you do have to read carefully the options they have for power ups and choose the most both offensive and defensive power ups to stay the distance and attack while running so it's fun and addictive","2024-03-01T15:32:20.932Z"
"Hunter Mullins",5,"Most likely the best roguelike for mobile phones, and there's no ads unless you want a small bonus. And my only complaint actually was never a complaint, just a creature I've never seen advertised! The game can be played with a controller like a twin stick shooter!!!! 10/10","2023-02-07T00:04:40.579Z"
"A i Q",5,"GREAT GAME! but hard to survive 20mins without watching ads","2024-07-27T15:52:48.690Z"
"Konstantine Stavropoulos",5,"Definitely one of the best games I have ever played. It's easy to understand and a bit complex at the same time. The gameplay doesn't strafe from the traditional roguelike but it has its own perks which makes it original! Also the developers are active and putting their hearts and souls into making the game what it is.","2023-08-21T08:36:17.361Z"
"Lumpia Lifeafter",5,"Ten out of Ten, Satisfied, felt large power coming thru my veins after winning, kinda easy yet too challenging, probably would play more if I don't have something or assignments to do but here's the thing, just one time please can you make some like a boss music or any music like thrilling for players ears you know, more like to enhance the environment and (something something I can't remember) on the game, It's nice for a pixelated game, Would be better, keep up your good work Devs Lol, See ya!","2022-12-14T13:18:55.310Z"
"eli334",5,"Very good game! It's hard on PC but it's exponentially harder on mobile, but that's to be expected. Most synergies feel well balanced, and the game itself is fun (and chaotic). 9.5/10 (sometimes I feel like I take damage when I shouldn't, but again, mobile)","2022-11-24T21:47:42.872Z"
"AEsir Re:Born",5,"First of all, I think it's not hard and secondly, I RETRACT MY SENTENCE FOR SAYING IT'S NOT HARD, The game has so much to offer and thinking that if you can beat it just by choosing upgrades that are overpowered, It's just not making it easy for you, It's making it hard for you like this game really ignited my gaming skills, I like it like no. I LOVE IT. Similar to Soul Knight but with great challenges and collectibles. I guess if you were thinking is this game worth to buy the premium? I Think?","2022-11-13T16:21:28.390Z"
"Fredrik",5,"Absolutely phenomenal game, one of the best rougelikes i have ever played. The pixelated art style is amazing, combined with its smooth animation is amazing. I also just recently purchased the game on steam, and had an absolute blast. This game is the best choice to have fun and kill anything. 10/10 5stars :>","2023-06-23T03:52:53.203Z"
"anthony samantela",5,"The game's a 10/10, good graphics, Can keep you occupied for a while, a bunch of characters to play with, different perks and builds, however, my only problem is that the weapons or perks doesn't give more information about them which confuses some players that's new, the game is still a 10/10, definitely recommend it.","2023-08-06T08:28:00.210Z"
"Logan Skowron",5,"The best bullet heaven game I have ever played. The only problem is that there is no dead zone on the far right. So the achievements where you can't shoot are much harder. Also, people with Google Play Pass can get the currency for free, which feels like an oversight.","2023-12-13T03:21:41.463Z"
"Evert",5,"This game is great for it being just released, while it doesn't have the most gameplay, it's replayability has a great amount of potential. I'd say this game has a lot in the future, so far I haven't found any bugs or exploits but that's mainly because I haven't been looking. I look forward to what the devs can make","2022-12-03T05:06:36.289Z"
"Kenrick Ada",5,"This game is fantastic!! The talents that can be acquired are well thought, making the experience more complex and addictive. And I would like to suggest some adjustments and features, include buff indicator (e.g. kill count for Kill Clip, current stacks for In The Wind), Character Stat (Mostly about current stats and talent obtained) Obstacles and biomes with each having its pros and cons (e.g. debuffs or buffs and special items/powerups) Slight hue color for dmg indicator based on its element.","2022-11-06T21:22:56.470Z"
"Xavier Ghosh",5,"Game is quite good. Obviously, would expect the game to grow with new upgrades, monsters, characters, weapons, etc. The game MUST have a fair save feature. I just can't leave the game when there's 5 min left and I have to do something else. Congrats to the devs in making a decent a time-killer.","2022-11-26T18:55:25.445Z"
"Ben Arnao",5,"Best mobile game for this genre. The monetization is reasonable... Watch an ad when you die which will probably be 5 or so times a match. Seems like there's infinite respawns though which makes the game a little less meaningful but tbh this type of game is more about zoning out and having fun then strategy anyway.","2023-01-02T05:22:17.704Z"
"Relic (Jones)",5,"Great game so far, it's just that the skills system went unexplained. Add a tutorial? Also, can you add an option to smooth the font? It's a bit hard for me to read sometimes. Also also, endless mode? And, apparently, this isn't the full version?","2022-11-06T20:37:39.658Z"
"Kei",5,"Game is great! Was surprised they launched a mobile version too. Although I was hoping there was a cloud system so you can keep your progress even when you switch to a different device. I hope it gets implemented soon so our progress won't be gone for good.","2022-11-25T21:41:47.875Z"
"Ray Edwards",5,"Fun game especially when you get the right build going. Wish there was an endless mode where you can see how devastating you can make your build. The companion build with the bat gun starts off slow and you'll die a lot but once you get the good perks you'll destroy the screen","2023-06-08T14:17:53.430Z"
"Conor Nangle",5,"Incredible little game! All ads are optional and everything is free to unlock. The upgrades are interesting and keep each run fresh and fun! The different weapon types and characters add to this too. This is by far my favorite offline mobile game in a long time and I hope the amazing devs keep this up😄","2022-11-29T01:42:04.271Z"
"Nick Taylor",5,"Loved the graphics style. There's a million of these things now, but if they're your thing, you should love this. And on playpass, you can spend away in the game, so be careful about its longevity - it COULD spoil it for you. That said, you already paid your fiver, so give it a try.","2024-05-27T11:08:15.909Z"
"Tricky Tuna",5,"i'm a long time player of a korean game called ""Magic Survival"". This game is eerily similiar but way more polished, so levelling up and upgrading certain stuff for me is ultra fast, since i already know the drill. This game is definitely more casual for those who likes chaotic bullet-hell shmup game. They do not show you ads at all (only for retries or certain stuff) and it's an ""easy to learn hard to master"" type. Definitly worth a try if anyone is interested in this game.","2022-12-16T03:37:00.838Z"
"Soren C",5,"Very fun n unique rogueshooter. My only complaints are for 2 things, their seems to be an auto-aim so when I go to shoot it'll shoot 1 ammo at whatever it's aiming at before I fully control it, which has gotten me hit more than once. The other is that when you lvl up and select your upgrade it's supposed to push enemies too close a little bit away so u have time to actually start shooting again, but theirs like a 50% chance it'll just decide not to work which has also gotten me killed.","2022-12-07T13:04:54.134Z"
"JustBerto",5,"Simple but addicting gameplay, classic shoot and run with rogue-like genre, but it would be nice if you can change the controls a little bit, such as fixed position pad, change the skill position or maybe shoot at the place you touch instead of using pad to aim and shoot, either way its classic game","2022-11-07T01:01:03.418Z"
"Federico Ferraro",5,"Excellent game, hat to uninstall it because I would have ended up spending whole days playing it. 100% recommend it. Only one suggestion: Add an option to have static joysticks, it prevents wasting the first bullet you shoot. (If the feature already exists I didn't see it)","2022-12-17T14:01:00.522Z"
"Кsзиокs",5,"I absolutely and highly recommend this game. I have about 20 hours on it and am enjoying it every day. It takes a bit to find a good kit, but once you do, the game becomes a breeze. It never gets repetitive, and adds are optional and are not necessary to progress. This has got to be my top phone game.","2023-10-24T19:13:41.785Z"
"Nick Shadow",5,"Great art, very original. Probably the best of this type of game that of ever played, there's a lot to do in it. There's very little that you would have to pay money to obtain, and those things aren't very expensive anyway. It can get extremely laggy at the later levels though, so beware.","2023-05-10T19:52:03.345Z"
"Aiden Booth",5,"The 2 free power ups in the beginning behind the ad dont load for me so I'll be there for 2 minutes spamming the ad with no result and ik it's not a connection issue bc I have tried it on great wifi and it still never loads but aside from that one bug LITERALLY ONE OF IF NOT THE BEST MOBILE GAME I'VE PLAYED SO AMAZING WORK!!!💜","2023-05-19T01:44:11.612Z"
"Be hairy",5,"Really fun game i just played it and i am addicted to it, really excited for more updates. And wish you add more kinds of enemies, more modes and more combat abilities. about graphics i honestly didn't like the screen effects its kinda too much that you can't see probably but its ok wish you make it better in the next updates. Thx for the great game ❤️❤️","2022-11-06T19:50:52.257Z"
"Hunter Trax",5,"Excellent game in terms of gameplay, though perhaps a bit lacking in terms of run variety when compared with other VS-likes. My only complaint is that things should be highlighted a bit better when using the controller, otherwise this is a definite recommend.","2023-07-18T20:27:38.406Z"
"Tim Danver Paneda Zamora",5,"I pre-registered because the game looks cool and I was right. The graphics is good, the game gets repetitive but yeah, that's what it is. Abby and her weapon is broken as hell, especially in end game. I only got to the 2nd stage since I got bored though. I might come back if I missed this. I hope there will be more updates and stuffs.","2022-11-09T17:17:37.940Z"
"Funky R",5,"Very fun and perfect port of the pc game. Perfect roguelike elements and interesting abilities.","2024-05-12T16:39:05.829Z"
"Mitch Anchondo",5,"Amazing roguelite bullet-hell game ported from the PC. Been playing the PC version for some time. The game is balanced well in this phone version, likely to accommodate how it plays on a touch screen control scheme. It reminds me of Magic Survival for the phone but feels like Enter The Gungeon or Neon Abyss to me with how crazy runs can get. Once I'm at the 15 minute mark with the right build, I feel like a female witch version of the Doom Slayer mowing everything down","2022-12-27T02:17:42.912Z"
"Jamie Ross-Gillespie",5,"Awesome game, really really fun! Just a few things I would add, is a way to keep your progress, and a way to transfer your progress to the premium version. And some more options, weapons and characters. But other than that, highly recommend","2022-11-28T10:17:36.591Z"
"Atlas Greenfield",5,"I have this game on steam and it's pretty much a perfect mobile replica, sure it's missing a couple of upgrade trees but that's to be expected. I must say, if I had to change one thing I'd implement a controls button so you can see how to play.","2022-11-21T08:05:35.260Z"
"Telmuun Amartuvshin",5,"Really satisfying game if you are good enough. 5 stars","2024-09-15T03:53:23.713Z"
"DarrkParradise",5,"Fun, addictive, bullets, more bullets, bullets with thunder, more bullets with thunder. This game has a decent amount of characters, rune choices, guns, hopefully they add even more. Very addictive and fun exploring all the different combinations and effects. Love it.","2022-12-24T03:04:33.577Z"
"Uday Narayan Mukherjee",5,"Great game. I wanted to encourage the developer so I paid for a level. It would be great if the devs would make it for other platforms (steam or ps5). Love the way the ads are so non-intrusive. Also, it would be great to have a full non internet version.","2024-02-21T18:06:22.183Z"
"Shannon Berridge",5,"I'm just reviewing the game as a whole, not the actual phone experience as my play time is on PC. From what I can tell though this plays and controls very smooth. Games amazing rouge like. Just one more turn all night. Really good for pick up and play sessions too.","2023-02-17T13:21:50.619Z"
"Elliot",5,"It's a sublime game, grants you hours and hours of pure fun, shoots, explosion and tons of enemies. It turned out as my favorite game recently, not that I played many games before, I don't do the fanatic gamer type so much. This work of art is beautiful and perfect in various aspects, such as art(man I love pixel art, and this game made it so masterfully) which is pretty stylish by the way; the gunshot sounds and other sounds in general, the gameplay is pretty fluid too. Loved it.","2023-10-07T06:32:25.423Z"
"Chris P. Bacon",5,"This game has no tutorials and wants you to learn the game little by little. Through mistakes you learn what the environment and the enemies can do to you and little by little you start being better at the game. The feeling of accomplishment you achieve after winning once is fun.","2023-07-11T22:43:45.827Z"
"Jacob Wecker",5,"Solid game. Fun combos and progression with no ads unless you want them which I really really appreciate. I like the simple but clean graphics and appreciate that no matter how ""noisy"" it gets, there doesn't seem to be any slowdown or insane processing to keep up.","2023-08-04T18:16:34.438Z"
"Asd",5,"pretty cool game , and can be played offline which is a plus","2024-08-21T18:05:50.706Z"
"Ice Tide",5,"Don't rate too many games, but this is a really fun horde-based rogue like that is very respectful towards your time. A run takes twenty minutes, only ten if you prefer, which is way more reasonable than most. And the gameplay is actually really fun! Add regular updates and you've got something perfect right here.","2022-11-18T22:43:37.970Z"
"Isai Saputra",5,"The game are absolutely fantastic. It plays smoothly, and every run you'll always discover something fun. True, there is always an ""ideal"" build for each character, but the fun starts when you're forced to go to the different route!","2023-12-06T12:05:04.220Z"
"Raylei Jayn",5,"Amazing game,dunno why I need to have an internet before playing tho,maybe for just the ads in revive that doesn't work? As you could play this even without internet connection honestly,as just open the game with internet connection and after opening the game we could just turn off the internet connection and still play it,overall it's a good game,would love if you add boss rush and stuff that makes everything more chaotic tho.","2022-12-06T15:22:30.710Z"
"Soup",5,"this game is the peak of 2d top horde survival. i just love watching my grenade launcher do such damage. the only thing im mildly annoyed about though is that both the enemy and you, yourself, got the same color on the bullets, so when you're at the 5 min mark when the boss with the laser attacks spawns and spawn the one eyed creatures too its really hard to figure out what to doge quickly so you are generally guaranteed to loose hp. although i love the rune upgrade yall added","2022-11-10T18:36:42.998Z"
"Dr. Notfake",5,"Fantastic take on the Vampire Survivors genre. The devs put thought and work into this, and the ads are fair. It's a good game for extended sessions - you'll need at least 10 minutes to complete a round. Art is decent to good quality. Overall, very recommended!","2022-12-10T13:50:29.997Z"
"グウジKagamine",5,"Addicting and solid game to play before sleeping or getting back to work. I do have onr concern regarding the cyclone sword, ai hope it can be updated based on which upgrade you use visually like the guns. And another mode named invasion or something where it's double the time (40mins) and is higher in difficulty after clearing the 15 darkness levels. Mainly because I'm having fun 20mins isn't enough","2024-01-19T03:28:06.422Z"
"EstoyDoi",5,"I didn't imagine enjoying too much for this game. Having this retro style graphics is smart so whenever the run becomes chaotic, it wont heat your phone too much. The mechanics are simple. You just need to be smart for the synergies and have fun. 5 stars.","2022-12-25T07:01:03.169Z"
"Sayash Kumar Raikwar",5,"Just awesome. though its very addictive, but this is just so great. really liked it","2024-08-19T15:27:43.408Z"
"Galixy Gamer",5,"Play Pass purchases aren't registering Edit: The Games great and doesn't lag the unique system for powers as other bullet hell games tend to limit to 10, and the unique choices for characters allows one to make their own play style with the combination of weapons, character, upgrades, and level based upgrades","2023-08-01T00:03:24.537Z"
"Brandon Austin Uy",5,"It is the most fun to play with selectable abilities and a lot of characters to choose from with skill based implementation. But the only downside to the gameplay is that the frame rate lags a lot when moving and shooting at the same time. May I suggest fixing the issue to make the gameplay more fun and smoother as possible?","2022-11-07T03:02:31.807Z"
"Brawley",5,"I love that every playthrough is completely different with different characters, weapons or passives. Even after the first time i survived I still had the craving to make a better build and play more. One of the best experiences I've had on a game so far.","2022-11-26T17:23:05.504Z"
"Cartrell Splunge",5,"This is an amazing game a really really amazing game and even more amazing the boss battles only thing I would have to say that I don't like is that there's no music wow in the middle of the game this music for being in the front screen and in the character select but none in the game when used start taking down enemies","2022-11-07T16:05:43.209Z"
"Gabriel storm Idowu",5,"way better on this version, but it's too easy, more level, caricature, and more enemy","2024-04-13T08:52:29.162Z"
"Mandisi Dube",5,"Could use some more maps ,,, otherwise perfect...","2024-07-26T06:08:44.817Z"
"Gaurav Gilalkar",5,"This game is addictive and frustrating which are two opposite qualities but these two opposite qualities make it great. The premise is very simple but the way the increasing number of monsters frustrate you and the increasing number of power ups make you come back for it, it's beautifully executed. Kudos to the developer.","2022-12-12T17:43:28.372Z"
"Fadma Fadma",5,"i loooove this game . the pixel artstyle and colors are cool and it doesn't even feel like a mobile game . i just love it .","2024-04-28T20:10:35.412Z"
"Gage Newman",5,"the grenade launcher is op if you put rapid fire and shotgun rounds I'm crying of laughter","2024-09-07T20:09:40.705Z"
"Isaac Brazille",5,"Very fun. Challenging. Seems almost impossible. Takes time. Dark souls esc. Lota of dying. But fun.","2024-06-12T18:35:27.596Z"
"Carlos Williams",5,"Pretty fun! Best survival game so far!","2024-09-07T17:41:43.393Z"
"Louis Clifford",5,"great game in this genre. but the more i play it the more i understand its a lot more simplistic(not bad) than VS. sure, there is shooting and reloading but there is not enough abilities. my last 6 abilities usually are just randomly picked because my build is ready.","2023-03-10T13:49:59.335Z"
"Krei",5,"Can waste my time for hours without hurting my eyes. I like the color palette for everything.","2024-05-05T08:11:50.580Z"
"Jackie Wallace",5,"This game is awesome! If you like shoot em up's then I strongly recommend this. The style is really cool, and there are a lot of different characters, and weapons to try out. One thing I would like to see added though would be an endless mode or something similar. Other than that this is a really fun game.","2023-01-22T02:22:50.267Z"
"Shreya Singh",5,"it's a well developed game. more like a fantasy adventure but too many adds.","2024-06-04T01:15:19.650Z"
"Gabriel12",5,"A nice game to pass the time, despite it needing internet connection for some reason. The style is pretty nice and it's like a bullet hell game. The only thing I wish was in the game was a story mode so it can have lore, backstories of each character, and probably on how it all began. Good game overall.","2024-02-27T11:11:27.206Z"
